1609, 2016 09
1606, 2016 06
1605, 2016 05
1604, 2016 04
1603, 2016 03
1602, 2016 02
1512-1601, 2015 12
1511, 2015 11
1510, 2015 10
1509, 2015 09
15-0708, 2015 07
1506, 2015 06
1505, 2015 05
1504, 2015 04
1503, 2015 03
1502, 2015 02
1412-1501, 2014 12
1411, 2014 11
1410, 2014 10
1409, 2014 09
14-0708, 2014 07
1406, 2014 06
1405, 2014 05
1404, 2014 04
1403, 2014 03
1402, 2014 02
1312-1401, 2013 12
1311, 2013 11
1310, 2013 10
1309, 2013 09
13-0708, 2013 07
1306, 2013 06
1305, 2013 05
1304, 2013 04
1303, 2013 03
1302, 2013 02
1212-1301, 2012 12
1211, 2012 11
1211, 2012 11
1210, 2012 10
1209, 2012 09
12-0708, 2012 07
1206, 2012 06
1205, 2012 05
1204, 2012 04
1203, 2012 03
1202, 2012 02
1112-1201, 2011 12
1111, 2011 11
1110, 2011 10
1109, 2011 09
11-0708, 2011 07
1106, 2011 06
1105, 2011 05
1104, 2011 04
1103, 2011 03
1102, 2011 02
1012-1101, 2010 12
1011, 2010 11
1010, 2010 10
1009, 2010 09
100708, 2010 07
1006, 2010 06
1005, 2010 05
1004, 2010 04
1003, 2010 03
1002, 2010 02
0912-1001, 2009 12
0911, 2009 11
0910, 2009 10
0909, 2009 09
09-0708, 2009 07
0906, 2009 06
0905, 2009 05
0904, 2009 04
0903, 2009 03
0902, 2009 02
0812-0901, 2008 12
08-11, 2008 11
08-10, 2008 10
08-09, 2008 09
08-0708, 2008 07
08-06, 2008 06
08-05, 2008 05
08-04, 2008 04
08-03, 2008 03
08-02, 2008 02
08-01, 2008 01
07-10, 2007 10
07-1112, 2007 11
07-10, 2007 10
07-09, 2007 09
07-0708, 2007 07
07-06, 2007 06
07-05, 2007 05
07-04, 2007 04
07-02, 2007 02
07-01, 2007 01
06-11, 2006 11
06-10, 2006 10
06-09, 2006 09
06-0708, 2006 07
06-06, 2006 06
06-05, 2006 05
06-04, 2006 04
06-03, 2006 03
06-02, 2006 02
06-01, 2006 01
05-12, 2005 12
05-11, 2005 11
05-10, 2005 10
05-09, 2005 09
05-0708, 2005 07
05-06, 2005 06
05-05, 2005 05
05-04, 2005 04
05-03, 2005 03
05-02, 2005 02
05-01, 2005 01
04-1112, 2004 11
04-1011, 2004 10
04-0910, 2004 09
04_07, 2004 07
04_05, 2004 05
04_03, 2004 03
04_02, 2004 02
04_01, 2004 01
03_12, 2003 12
03_10, 2003 10
03_09, 2003 09
03_05, 2003 05
03_04, 2003 04
03_03, 2003 03
03_02, 2003 02
02_11, 2002 11
02_10, 2002 10
02_09, 2002 09
02_06, 2002 06
02_05, 2002 05
02_04, 2002 04
02_03, 2002 03
02_02, 2002 02
01_12, 2001 12
01_11, 2001 11
01_10, 2001 10
01_09, 2001 09
01_06, 2001 06
01_05, 2001 05
01_04, 2001 04
01_03, 2001 03
01_02, 2001 02
00_12, 2000 12
00_11, 2000 11
00_10, 2000 10
00_09, 2000 09
00_06, 2000 06
00_05, 2000 05
00_04, 2000 04
00_03, 2000 03
00_02, 2000 02
99_12, 1999 12
99_11, 1999 11
